"month","artist","plays"
"2006-03","Belle And Sebastian",3
"2006-03","Chromeo",0
"2006-03","Common",1
"2006-03","Daft Punk",0
"2006-03","Diplo",15
"2006-03","Donovan",0
"2006-03","Fischerspooner",1
"2006-03","Fleetwood Mac",0
"2006-03","Hollertronix",3
"2006-03","Johnny Cash",1
"2006-03","Madonna",0
"2006-03","Metric",0
"2006-03","Mos Def",1
"2006-03","Noam Chomsky",3
"2006-03","Ratatat",1
"2006-03","Sufjan Stevens",2
"2006-03","The American Analog Set",1
"2006-03","The Mountain Goats",0
"2006-03","The Rolling Stones",1
"2006-03","The Shins",0
"2006-04","Belle And Sebastian",22
"2006-04","Chromeo",3
"2006-04","Common",28
"2006-04","Daft Punk",1
"2006-04","Diplo",5
"2006-04","Donovan",1
"2006-04","Fischerspooner",2
"2006-04","Fleetwood Mac",4
"2006-04","Hollertronix",17
"2006-04","Johnny Cash",7
"2006-04","Madonna",13
"2006-04","Metric",4
"2006-04","Mos Def",9
"2006-04","Noam Chomsky",18
"2006-04","Ratatat",10
"2006-04","Sufjan Stevens",10
"2006-04","The American Analog Set",8
"2006-04","The Mountain Goats",8
"2006-04","The Rolling Stones",36
"2006-04","The Shins",7
"2006-05","Belle And Sebastian",9
"2006-05","Chromeo",6
"2006-05","Common",11
"2006-05","Daft Punk",1
"2006-05","Diplo",9
"2006-05","Donovan",1
"2006-05","Fischerspooner",6
"2006-05","Fleetwood Mac",4
"2006-05","Hollertronix",12
"2006-05","Johnny Cash",0
"2006-05","Madonna",14
"2006-05","Metric",6
"2006-05","Mos Def",7
"2006-05","Noam Chomsky",39
"2006-05","Ratatat",4
"2006-05","Sufjan Stevens",6
"2006-05","The American Analog Set",13
"2006-05","The Mountain Goats",29
"2006-05","The Rolling Stones",7
"2006-05","The Shins",5
"2006-06","Belle And Sebastian",21
"2006-06","Chromeo",4
"2006-06","Common",16
"2006-06","Daft Punk",2
"2006-06","Diplo",8
"2006-06","Donovan",17
"2006-06","Fischerspooner",6
"2006-06","Fleetwood Mac",4
"2006-06","Hollertronix",18
"2006-06","Johnny Cash",5
"2006-06","Madonna",24
