"weekday","artist","plays"
"0","Abba",46
"0","Billy Joel",26
"0","Blondie",12
"0","David Bowie",75
"0","Eagles",26
"0","Electric Light Orchestra Part Ii",11
"0","Elton John",56
"0","Fleetwood Mac",28
"0","Hall & Oates",8
"0","Kate Bush",19
"0","Queen",65
"0","Rod Stewart",55
"0","Simon & Garfunkel",15
"0","Status Quo",9
"0","Sweet",64
"0","T. Rex",9
"0","Take That",12
"0","The Beach Boys",93
"0","The Human League",10
"0","The Jam",11
"1","Abba",122
"1","Billy Joel",30
"1","Blondie",64
"1","David Bowie",67
"1","Eagles",60
"1","Electric Light Orchestra Part Ii",31
"1","Elton John",99
"1","Fleetwood Mac",47
"1","Hall & Oates",48
"1","Kate Bush",16
"1","Queen",102
"1","Rod Stewart",37
"1","Simon & Garfunkel",26
"1","Status Quo",39
"1","Sweet",86
"1","T. Rex",85
"1","Take That",8
"1","The Beach Boys",110
"1","The Human League",25
"1","The Jam",57
"2","Abba",105
"2","Billy Joel",84
"2","Blondie",70
"2","David Bowie",219
"2","Eagles",56
"2","Electric Light Orchestra Part Ii",45
"2","Elton John",176
"2","Fleetwood Mac",38
"2","Hall & Oates",32
"2","Kate Bush",35
"2","Queen",182
"2","Rod Stewart",40
"2","Simon & Garfunkel",68
"2","Status Quo",68
"2","Sweet",32
"2","T. Rex",130
"2","Take That",42
"2","The Beach Boys",119
"2","The Human League",38
"2","The Jam",37
"3","Abba",96
"3","Billy Joel",95
"3","Blondie",56
"3","David Bowie",104
"3","Eagles",35
"3","Electric Light Orchestra Part Ii",54
"3","Elton John",179
"3","Fleetwood Mac",37
"3","Hall & Oates",28
"3","Kate Bush",34
"3","Queen",115
"3","Rod Stewart",43
"3","Simon & Garfunkel",40
"3","Status Quo",50
"3","Sweet",152
"3","T. Rex",78
"3","Take That",26
"3","The Beach Boys",173
"3","The Human League",24
"3","The Jam",45
"4","Abba",112
"4","Billy Joel",30
"4","Blondie",23
"4","David Bowie",64
"4","Eagles",61
"4","Electric Light Orchestra Part Ii",59
"4","Elton John",187
"4","Fleetwood Mac",68
"4","Hall & Oates",51
"4","Kate Bush",33
"4","Queen",104
"4","Rod Stewart",80
"4","Simon & Garfunkel",51
"4","Status Quo",40
"4","Sweet",132
"4","T. Rex",136
"4","Take That",55
"4","The Beach Boys",125
"4","The Human League",15
"4","The Jam",62
"5","Abba",101
"5","Billy Joel",60
"5","Blondie",56
"5","David Bowie",142
"5","Eagles",63
"5","Electric Light Orchestra Part Ii",35
"5","Elton John",133
"5","Fleetwood Mac",71
"5","Hall & Oates",45
"5","Kate Bush",32
"5","Queen",205
"5","Rod Stewart",73
"5","Simon & Garfunkel",66
"5","Status Quo",93
"5","Sweet",149
"5","T. Rex",67
"5","Take That",62
"5","The Beach Boys",174
"5","The Human League",57
"5","The Jam",47
"6","Abba",42
"6","Billy Joel",64
"6","Blondie",38
"6","David Bowie",20
"6","Eagles",24
"6","Electric Light Orchestra Part Ii",24
"6","Elton John",34
"6","Fleetwood Mac",8
"6","Hall & Oates",8
"6","Kate Bush",38
"6","Queen",64
"6","Rod Stewart",33
"6","Simon & Garfunkel",71
"6","Status Quo",13
"6","Sweet",65
"6","T. Rex",102
"6","Take That",9
"6","The Beach Boys",28
"6","The Human League",12
"6","The Jam",36
