"month","artist","plays"
"2005-09","Arcade Fire",5
"2005-09","Autoramas",25
"2005-09","Beck",9
"2005-09","Belle And Sebastian",14
"2005-09","Camera Obscura",9
"2005-09","Cat Power",14
"2005-09","David Bowie",2
"2005-09","Death Cab For Cutie",3
"2005-09","Feist",0
"2005-09","Gorillaz",0
"2005-09","Interpol",10
"2005-09","Mates Of State",18
"2005-09","Modest Mouse",15
"2005-09","Nada Surf",2
"2005-09","Nick Drake",0
"2005-09","Pinback",53
"2005-09","Spoon",6
"2005-09","The Raveonettes",18
"2005-09","The Shins",13
"2005-09","Weezer",42
"2005-10","Arcade Fire",12
"2005-10","Autoramas",0
"2005-10","Beck",2
"2005-10","Belle And Sebastian",0
"2005-10","Camera Obscura",1
"2005-10","Cat Power",0
"2005-10","David Bowie",1
"2005-10","Death Cab For Cutie",40
"2005-10","Feist",0
"2005-10","Gorillaz",0
"2005-10","Interpol",12
"2005-10","Mates Of State",1
"2005-10","Modest Mouse",18
"2005-10","Nada Surf",3
"2005-10","Nick Drake",1
"2005-10","Pinback",90
"2005-10","Spoon",108
"2005-10","The Raveonettes",3
"2005-10","The Shins",0
"2005-10","Weezer",0
"2005-11","Arcade Fire",0
"2005-11","Autoramas",2
"2005-11","Beck",3
"2005-11","Belle And Sebastian",2
"2005-11","Camera Obscura",1
"2005-11","Cat Power",0
"2005-11","David Bowie",13
"2005-11","Death Cab For Cutie",46
"2005-11","Feist",0
"2005-11","Gorillaz",0
"2005-11","Interpol",2
"2005-11","Mates Of State",20
"2005-11","Modest Mouse",1
"2005-11","Nada Surf",3
"2005-11","Nick Drake",0
"2005-11","Pinback",44
"2005-11","Spoon",45
"2005-11","The Raveonettes",6
"2005-11","The Shins",43
"2005-11","Weezer",4
"2005-12","Arcade Fire",6
"2005-12","Autoramas",21
"2005-12","Beck",1
"2005-12","Belle And Sebastian",3
"2005-12","Camera Obscura",1
"2005-12","Cat Power",1
"2005-12","David Bowie",2
"2005-12","Death Cab For Cutie",3
"2005-12","Feist",0
"2005-12","Gorillaz",0
"2005-12","Interpol",15
"2005-12","Mates Of State",2
"2005-12","Modest Mouse",1
"2005-12","Nada Surf",1
"2005-12","Nick Drake",1
"2005-12","Pinback",78
"2005-12","Spoon",6
"2005-12","The Raveonettes",5
"2005-12","The Shins",38
"2005-12","Weezer",35
"2006-01","Arcade Fire",3
"2006-01","Autoramas",2
"2006-01","Beck",3
"2006-01","Belle And Sebastian",5
"2006-01","Camera Obscura",9
"2006-01","Cat Power",0
"2006-01","David Bowie",2
"2006-01","Death Cab For Cutie",11
"2006-01","Feist",66
"2006-01","Gorillaz",1
"2006-01","Interpol",16
"2006-01","Mates Of State",4
"2006-01","Modest Mouse",3
"2006-01","Nada Surf",1
"2006-01","Nick Drake",2
"2006-01","Pinback",34
"2006-01","Spoon",4
"2006-01","The Raveonettes",6
"2006-01","The Shins",35
"2006-01","Weezer",91
"2006-02","Arcade Fire",12
"2006-02","Autoramas",15
"2006-02","Beck",3
"2006-02","Belle And Sebastian",10
"2006-02","Camera Obscura",6
"2006-02","Cat Power",2
"2006-02","David Bowie",12
"2006-02","Death Cab For Cutie",1
"2006-02","Feist",20
"2006-02","Gorillaz",2
"2006-02","Interpol",2
"2006-02","Mates Of State",12
"2006-02","Modest Mouse",0
"2006-02","Nada Surf",50
"2006-02","Nick Drake",11
"2006-02","Pinback",12
"2006-02","Spoon",1
"2006-02","The Raveonettes",14
"2006-02","The Shins",2
"2006-02","Weezer",11
"2006-03","Arcade Fire",8
"2006-03","Autoramas",11
"2006-03","Beck",0
"2006-03","Belle And Sebastian",26
"2006-03","Camera Obscura",2
"2006-03","Cat Power",0
"2006-03","David Bowie",3
"2006-03","Death Cab For Cutie",26
"2006-03","Feist",14
"2006-03","Gorillaz",34
"2006-03","Interpol",3
"2006-03","Mates Of State",3
"2006-03","Modest Mouse",4
"2006-03","Nada Surf",24
"2006-03","Nick Drake",12
"2006-03","Pinback",10
"2006-03","Spoon",47
"2006-03","The Raveonettes",2
"2006-03","The Shins",26
"2006-03","Weezer",12
"2006-04","Arcade Fire",0
"2006-04","Autoramas",0
"2006-04","Beck",1
"2006-04","Belle And Sebastian",37
"2006-04","Camera Obscura",8
"2006-04","Cat Power",1
"2006-04","David Bowie",9
"2006-04","Death Cab For Cutie",62
"2006-04","Feist",6
"2006-04","Gorillaz",15
"2006-04","Interpol",0
"2006-04","Mates Of State",12
"2006-04","Modest Mouse",1
"2006-04","Nada Surf",68
"2006-04","Nick Drake",64
"2006-04","Pinback",9
"2006-04","Spoon",0
"2006-04","The Raveonettes",0
"2006-04","The Shins",42
"2006-04","Weezer",0
"2006-05","Arcade Fire",6
"2006-05","Autoramas",4
"2006-05","Beck",3
"2006-05","Belle And Sebastian",5
"2006-05","Camera Obscura",1
"2006-05","Cat Power",4
"2006-05","David Bowie",1
"2006-05","Death Cab For Cutie",7
"2006-05","Feist",1
"2006-05","Gorillaz",5
"2006-05","Interpol",15
"2006-05","Mates Of State",13
"2006-05","Modest Mouse",5
"2006-05","Nada Surf",47
"2006-05","Nick Drake",3
"2006-05","Pinback",5
"2006-05","Spoon",26
"2006-05","The Raveonettes",2
"2006-05","The Shins",8
"2006-05","Weezer",31
"2006-06","Arcade Fire",1
"2006-06","Autoramas",0
"2006-06","Beck",2
"2006-06","Belle And Sebastian",81
"2006-06","Camera Obscura",16
"2006-06","Cat Power",0
"2006-06","David Bowie",11
"2006-06","Death Cab For Cutie",16
"2006-06","Feist",11
"2006-06","Gorillaz",27
"2006-06","Interpol",0
"2006-06","Mates Of State",2
"2006-06","Modest Mouse",1
"2006-06","Nada Surf",2
"2006-06","Nick Drake",56
"2006-06","Pinback",32
"2006-06","Spoon",3
"2006-06","The Raveonettes",3
"2006-06","The Shins",2
"2006-06","Weezer",25
"2006-07","Arcade Fire",1
"2006-07","Autoramas",6
"2006-07","Beck",1
"2006-07","Belle And Sebastian",1
"2006-07","Camera Obscura",0
"2006-07","Cat Power",7
"2006-07","David Bowie",3
"2006-07","Death Cab For Cutie",33
"2006-07","Feist",13
"2006-07","Gorillaz",0
"2006-07","Interpol",2
"2006-07","Mates Of State",4
"2006-07","Modest Mouse",7
"2006-07","Nada Surf",20
"2006-07","Nick Drake",0
"2006-07","Pinback",6
"2006-07","Spoon",1
"2006-07","The Raveonettes",3
"2006-07","The Shins",3
"2006-07","Weezer",11
"2006-08","Arcade Fire",2
"2006-08","Autoramas",0
"2006-08","Beck",2
"2006-08","Belle And Sebastian",3
"2006-08","Camera Obscura",18
"2006-08","Cat Power",14
"2006-08","David Bowie",15
"2006-08","Death Cab For Cutie",86
"2006-08","Feist",6
"2006-08","Gorillaz",15
"2006-08","Interpol",4
"2006-08","Mates Of State",111
"2006-08","Modest Mouse",24
"2006-08","Nada Surf",4
"2006-08","Nick Drake",1
"2006-08","Pinback",3
"2006-08","Spoon",4
"2006-08","The Raveonettes",27
"2006-08","The Shins",7
"2006-08","Weezer",7
"2006-09","Arcade Fire",4
"2006-09","Autoramas",3
"2006-09","Beck",1
"2006-09","Belle And Sebastian",4
"2006-09","Camera Obscura",10
"2006-09","Cat Power",15
"2006-09","David Bowie",26
"2006-09","Death Cab For Cutie",51
"2006-09","Feist",0
"2006-09","Gorillaz",0
"2006-09","Interpol",2
"2006-09","Mates Of State",14
"2006-09","Modest Mouse",22
"2006-09","Nada Surf",2
"2006-09","Nick Drake",0
"2006-09","Pinback",4
"2006-09","Spoon",2
"2006-09","The Raveonettes",3
"2006-09","The Shins",3
"2006-09","Weezer",26
"2006-10","Arcade Fire",5
"2006-10","Autoramas",2
"2006-10","Beck",2
"2006-10","Belle And Sebastian",20
"2006-10","Camera Obscura",3
"2006-10","Cat Power",2
"2006-10","David Bowie",6
"2006-10","Death Cab For Cutie",2
"2006-10","Feist",1
"2006-10","Gorillaz",1
"2006-10","Interpol",20
"2006-10","Mates Of State",27
"2006-10","Modest Mouse",12
"2006-10","Nada Surf",2
"2006-10","Nick Drake",32
"2006-10","Pinback",37
"2006-10","Spoon",3
"2006-10","The Raveonettes",2
"2006-10","The Shins",4
"2006-10","Weezer",9
"2006-11","Arcade Fire",2
"2006-11","Autoramas",0
"2006-11","Beck",2
