"weekday","artist","plays"
"0","112",0
"0","Aaliyah",1
"0","Africando",0
"0","After 7",2
"0","Al B. Sure!",0
"0","Al Jarreau",1
"0","Alejandro Sanz",0
"0","Alicia Keys",4
"0","Angie Stone",2
"0","Anita Baker",2
"0","Boyz Ii Men",1
"0","Brandy",3
"0","Brian Mcknight",1
"0","Erykah Badu",4
"0","Luther Vandross",2
"0","Mary J. Blige",3
"0","Monica",3
"0","Tamia",2
"0","Teena Marie",0
"0","The Isley Brothers",1
"1","112",1
"1","Aaliyah",1
"1","Africando",0
"1","After 7",0
"1","Al B. Sure!",0
"1","Al Jarreau",0
"1","Alejandro Sanz",0
"1","Alicia Keys",0
"1","Angie Stone",0
"1","Anita Baker",1
"1","Boyz Ii Men",1
"1","Brandy",1
"1","Brian Mcknight",1
"1","Erykah Badu",0
"1","Luther Vandross",2
"1","Mary J. Blige",0
"1","Monica",1
"1","Tamia",0
"1","Teena Marie",0
"1","The Isley Brothers",1
"2","112",0
"2","Aaliyah",0
"2","Africando",0
"2","After 7",0
"2","Al B. Sure!",0
"2","Al Jarreau",0
"2","Alejandro Sanz",0
"2","Alicia Keys",0
"2","Angie Stone",0
"2","Anita Baker",0
"2","Boyz Ii Men",0
"2","Brandy",0
"2","Brian Mcknight",0
"2","Erykah Badu",0
"2","Luther Vandross",0
"2","Mary J. Blige",0
"2","Monica",0
"2","Tamia",0
"2","Teena Marie",0
"2","The Isley Brothers",0
"3","112",0
"3","Aaliyah",0
"3","Africando",0
"3","After 7",0
"3","Al B. Sure!",0
"3","Al Jarreau",0
"3","Alejandro Sanz",0
"3","Alicia Keys",1
"3","Angie Stone",0
"3","Anita Baker",0
"3","Boyz Ii Men",0
"3","Brandy",0
"3","Brian Mcknight",0
"3","Erykah Badu",1
"3","Luther Vandross",0
"3","Mary J. Blige",1
"3","Monica",1
"3","Tamia",1
"3","Teena Marie",0
"3","The Isley Brothers",1
"4","112",0
"4","Aaliyah",0
"4","Africando",1
"4","After 7",2
"4","Al B. Sure!",2
"4","Al Jarreau",2
"4","Alejandro Sanz",1
"4","Alicia Keys",1
"4","Angie Stone",3
"4","Anita Baker",2
"4","Boyz Ii Men",0
"4","Brandy",2
"4","Brian Mcknight",0
"4","Erykah Badu",0
"4","Luther Vandross",1
"4","Mary J. Blige",2
"4","Monica",0
"4","Tamia",2
"4","Teena Marie",3
"4","The Isley Brothers",2
"5","112",0
"5","Aaliyah",0
"5","Africando",0
"5","After 7",0
"5","Al B. Sure!",0
"5","Al Jarreau",0
"5","Alejandro Sanz",0
"5","Alicia Keys",0
"5","Angie Stone",0
"5","Anita Baker",0
"5","Boyz Ii Men",0
"5","Brandy",0
"5","Brian Mcknight",0
"5","Erykah Badu",0
"5","Luther Vandross",0
"5","Mary J. Blige",0
"5","Monica",0
"5","Tamia",0
"5","Teena Marie",0
"5","The Isley Brothers",0
"6","112",0
"6","Aaliyah",0
"6","Africando",0
"6","After 7",0
"6","Al B. Sure!",0
"6","Al Jarreau",1
"6","Alejandro Sanz",0
"6","Alicia Keys",0
"6","Angie Stone",0
"6","Anita Baker",0
"6","Boyz Ii Men",0
"6","Brandy",1
"6","Brian Mcknight",0
"6","Erykah Badu",0
"6","Luther Vandross",0
"6","Mary J. Blige",0
"6","Monica",0
"6","Tamia",1
"6","Teena Marie",0
"6","The Isley Brothers",0
