"weekday","artist","plays"
"0","Air France",1
"0","Arcade Fire",1
"0","Archie Bronson Outfit",0
"0","Beirut",33
"0","Blank Dogs",10
"0","Blood Red Shoes",5
"0","Bombay Bicycle Club",8
"0","Bon Iver",4
"0","Chad Vangaalen",0
"0","Cinemechanica",1
"0","Crystal Stilts",2
"0","Cut City",1
"0","Fleet Foxes",0
"0","Foals",9
"0","Interpol",11
"0","John Maus",0
"0","Secret Knives",0
"0","Sybris",3
"0","The Radio Dept.",37
"0","The Whip",8
"1","Air France",4
"1","Arcade Fire",12
"1","Archie Bronson Outfit",1
"1","Beirut",51
"1","Blank Dogs",0
"1","Blood Red Shoes",13
"1","Bombay Bicycle Club",21
"1","Bon Iver",14
"1","Chad Vangaalen",36
"1","Cinemechanica",3
"1","Crystal Stilts",0
"1","Cut City",22
"1","Fleet Foxes",0
"1","Foals",18
"1","Interpol",18
"1","John Maus",14
"1","Secret Knives",7
"1","Sybris",1
"1","The Radio Dept.",0
"1","The Whip",0
"2","Air France",9
"2","Arcade Fire",0
"2","Archie Bronson Outfit",0
"2","Beirut",11
"2","Blank Dogs",0
"2","Blood Red Shoes",0
"2","Bombay Bicycle Club",15
"2","Bon Iver",0
"2","Chad Vangaalen",10
"2","Cinemechanica",0
"2","Crystal Stilts",0
"2","Cut City",0
"2","Fleet Foxes",0
"2","Foals",4
"2","Interpol",1
"2","John Maus",0
"2","Secret Knives",5
"2","Sybris",1
"2","The Radio Dept.",1
"2","The Whip",0
"3","Air France",10
"3","Arcade Fire",0
"3","Archie Bronson Outfit",2
"3","Beirut",9
"3","Blank Dogs",0
"3","Blood Red Shoes",12
"3","Bombay Bicycle Club",23
"3","Bon Iver",0
"3","Chad Vangaalen",2
"3","Cinemechanica",11
"3","Crystal Stilts",0
"3","Cut City",0
"3","Fleet Foxes",3
"3","Foals",25
"3","Interpol",12
"3","John Maus",9
"3","Secret Knives",0
"3","Sybris",0
"3","The Radio Dept.",2
"3","The Whip",2
"4","Air France",0
"4","Arcade Fire",4
"4","Archie Bronson Outfit",3
"4","Beirut",0
"4","Blank Dogs",23
"4","Blood Red Shoes",3
"4","Bombay Bicycle Club",12
"4","Bon Iver",7
"4","Chad Vangaalen",16
"4","Cinemechanica",8
"4","Crystal Stilts",2
"4","Cut City",5
"4","Fleet Foxes",10
"4","Foals",1
"4","Interpol",16
"4","John Maus",12
"4","Secret Knives",0
"4","Sybris",14
"4","The Radio Dept.",56
"4","The Whip",8
"5","Air France",3
"5","Arcade Fire",0
"5","Archie Bronson Outfit",0
"5","Beirut",1
"5","Blank Dogs",0
"5","Blood Red Shoes",7
"5","Bombay Bicycle Club",15
"5","Bon Iver",0
"5","Chad Vangaalen",15
"5","Cinemechanica",0
"5","Crystal Stilts",9
"5","Cut City",0
"5","Fleet Foxes",0
"5","Foals",7
"5","Interpol",9
"5","John Maus",0
"5","Secret Knives",0
"5","Sybris",0
"5","The Radio Dept.",31
"5","The Whip",1
"6","Air France",7
"6","Arcade Fire",4
"6","Archie Bronson Outfit",19
"6","Beirut",26
"6","Blank Dogs",5
"6","Blood Red Shoes",11
"6","Bombay Bicycle Club",6
"6","Bon Iver",9
"6","Chad Vangaalen",5
"6","Cinemechanica",2
"6","Crystal Stilts",14
"6","Cut City",2
"6","Fleet Foxes",24
"6","Foals",7
"6","Interpol",41
"6","John Maus",19
"6","Secret Knives",13
"6","Sybris",2
"6","The Radio Dept.",1
"6","The Whip",2
