"month","artist","plays"
"2005-02","Beck",0
"2005-02","Belle And Sebastian",0
"2005-02","Black Rebel Motorcycle Club",0
"2005-02","Bloc Party",0
"2005-02","Doves",1
"2005-02","Elliott Smith",1
"2005-02","Interpol",0
"2005-02","Joy Division",0
"2005-02","Mogwai",1
"2005-02","My Bloody Valentine",1
"2005-02","New Order",1
"2005-02","Oasis",1
"2005-02","Pavement",2
"2005-02","Pixies",0
"2005-02","Radiohead",2
"2005-02","The Futureheads",0
"2005-02","The Go! Team",0
"2005-02","The Killers",0
"2005-02","The Smiths",1
"2005-02","The Stone Roses",0
"2005-03","Beck",2
"2005-03","Belle And Sebastian",3
"2005-03","Black Rebel Motorcycle Club",1
"2005-03","Bloc Party",7
"2005-03","Doves",2
"2005-03","Elliott Smith",5
"2005-03","Interpol",2
"2005-03","Joy Division",5
"2005-03","Mogwai",8
"2005-03","My Bloody Valentine",2
"2005-03","New Order",3
"2005-03","Oasis",1
"2005-03","Pavement",8
"2005-03","Pixies",6
"2005-03","Radiohead",15
"2005-03","The Futureheads",0
"2005-03","The Go! Team",1
"2005-03","The Killers",11
"2005-03","The Smiths",6
"2005-03","The Stone Roses",6
"2005-04","Beck",2
"2005-04","Belle And Sebastian",1
"2005-04","Black Rebel Motorcycle Club",2
"2005-04","Bloc Party",1
"2005-04","Doves",0
"2005-04","Elliott Smith",3
"2005-04","Interpol",3
"2005-04","Joy Division",3
"2005-04","Mogwai",4
"2005-04","My Bloody Valentine",6
"2005-04","New Order",1
"2005-04","Oasis",1
"2005-04","Pavement",2
"2005-04","Pixies",5
"2005-04","Radiohead",6
"2005-04","The Futureheads",0
"2005-04","The Go! Team",1
"2005-04","The Killers",1
"2005-04","The Smiths",3
"2005-04","The Stone Roses",5
"2005-05","Beck",1
"2005-05","Belle And Sebastian",11
"2005-05","Black Rebel Motorcycle Club",4
"2005-05","Bloc Party",4
"2005-05","Doves",1
"2005-05","Elliott Smith",21
"2005-05","Interpol",8
"2005-05","Joy Division",3
"2005-05","Mogwai",6
"2005-05","My Bloody Valentine",15
"2005-05","New Order",3
"2005-05","Oasis",15
"2005-05","Pavement",10
"2005-05","Pixies",3
"2005-05","Radiohead",19
"2005-05","The Futureheads",2
"2005-05","The Go! Team",2
"2005-05","The Killers",1
"2005-05","The Smiths",6
"2005-05","The Stone Roses",4
"2005-06","Beck",0
"2005-06","Belle And Sebastian",0
"2005-06","Black Rebel Motorcycle Club",1
"2005-06","Bloc Party",0
"2005-06","Doves",0
"2005-06","Elliott Smith",0
"2005-06","Interpol",0
"2005-06","Joy Division",0
"2005-06","Mogwai",0
"2005-06","My Bloody Valentine",1
"2005-06","New Order",0
"2005-06","Oasis",0
"2005-06","Pavement",0
"2005-06","Pixies",2
"2005-06","Radiohead",1
"2005-06","The Futureheads",0
"2005-06","The Go! Team",1
"2005-06","The Killers",0
"2005-06","The Smiths",0
"2005-06","The Stone Roses",0
"2005-07","Beck",0
"2005-07","Belle And Sebastian",0
"2005-07","Black Rebel Motorcycle Club",0
"2005-07","Bloc Party",0
"2005-07","Doves",1
"2005-07","Elliott Smith",0
"2005-07","Interpol",0
"2005-07","Joy Division",0
"2005-07","Mogwai",0
"2005-07","My Bloody Valentine",1
"2005-07","New Order",0
"2005-07","Oasis",0
"2005-07","Pavement",0
"2005-07","Pixies",1
"2005-07","Radiohead",0
"2005-07","The Futureheads",0
"2005-07","The Go! Team",1
"2005-07","The Killers",0
"2005-07","The Smiths",0
"2005-07","The Stone Roses",0
"2005-08","Beck",2
"2005-08","Belle And Sebastian",1
"2005-08","Black Rebel Motorcycle Club",0
"2005-08","Bloc Party",2
"2005-08","Doves",2
"2005-08","Elliott Smith",1
"2005-08","Interpol",1
"2005-08","Joy Division",2
"2005-08","Mogwai",1
"2005-08","My Bloody Valentine",0
"2005-08","New Order",0
"2005-08","Oasis",0
"2005-08","Pavement",1
"2005-08","Pixies",4
"2005-08","Radiohead",0
"2005-08","The Futureheads",4
"2005-08","The Go! Team",3
"2005-08","The Killers",0
"2005-08","The Smiths",0
"2005-08","The Stone Roses",0
"2005-09","Beck",0
"2005-09","Belle And Sebastian",0
"2005-09","Black Rebel Motorcycle Club",1
"2005-09","Bloc Party",0
"2005-09","Doves",0
"2005-09","Elliott Smith",0
"2005-09","Interpol",0
"2005-09","Joy Division",0
"2005-09","Mogwai",1
"2005-09","My Bloody Valentine",0
"2005-09","New Order",0
"2005-09","Oasis",0
"2005-09","Pavement",1
"2005-09","Pixies",0
"2005-09","Radiohead",0
"2005-09","The Futureheads",0
"2005-09","The Go! Team",0
"2005-09","The Killers",0
"2005-09","The Smiths",1
"2005-09","The Stone Roses",0
"2005-10","Beck",0
"2005-10","Belle And Sebastian",5
"2005-10","Black Rebel Motorcycle Club",2
"2005-10","Bloc Party",5
"2005-10","Doves",4
"2005-10","Elliott Smith",0
"2005-10","Interpol",1
"2005-10","Joy Division",3
"2005-10","Mogwai",3
"2005-10","My Bloody Valentine",3
"2005-10","New Order",3
"2005-10","Oasis",0
"2005-10","Pavement",3
"2005-10","Pixies",2
"2005-10","Radiohead",0
"2005-10","The Futureheads",0
"2005-10","The Go! Team",0
"2005-10","The Killers",0
"2005-10","The Smiths",1
"2005-10","The Stone Roses",1
"2005-11","Beck",0
"2005-11","Belle And Sebastian",0
"2005-11","Black Rebel Motorcycle Club",2
"2005-11","Bloc Party",1
"2005-11","Doves",0
"2005-11","Elliott Smith",1
"2005-11","Interpol",0
"2005-11","Joy Division",0
"2005-11","Mogwai",2
"2005-11","My Bloody Valentine",1
"2005-11","New Order",0
"2005-11","Oasis",0
"2005-11","Pavement",1
"2005-11","Pixies",0
"2005-11","Radiohead",1
"2005-11","The Futureheads",0
"2005-11","The Go! Team",1
"2005-11","The Killers",0
"2005-11","The Smiths",0
"2005-11","The Stone Roses",0
"2005-12","Beck",1
"2005-12","Belle And Sebastian",0
"2005-12","Black Rebel Motorcycle Club",1
"2005-12","Bloc Party",0
"2005-12","Doves",0
"2005-12","Elliott Smith",0
"2005-12","Interpol",0
"2005-12","Joy Division",0
"2005-12","Mogwai",1
"2005-12","My Bloody Valentine",0
"2005-12","New Order",1
"2005-12","Oasis",0
"2005-12","Pavement",1
"2005-12","Pixies",0
"2005-12","Radiohead",0
"2005-12","The Futureheads",0
"2005-12","The Go! Team",0
"2005-12","The Killers",0
"2005-12","The Smiths",0
"2005-12","The Stone Roses",0
"2006-01","Beck",0
"2006-01","Belle And Sebastian",0
