"weekday","artist","plays"
"0","Air",79
"0","Beck",105
"0","Belle And Sebastian",220
"0","Beth Orton",179
"0","Coldplay",22
"0","Death Cab For Cutie",49
"0","Deltron 3030",18
"0","Doves",49
"0","Eels",214
"0","Esthero",28
"0","Feist",74
"0","Gnarls Barkley",97
"0","Imogen Heap",175
"0","Jeff Buckley",59
"0","Kate Havnevik",57
"0","Maritime",55
"0","Matisyahu",113
"0","Metric",39
"0","Mike Doughty",44
"0","Morcheeba",87
"1","Air",142
"1","Beck",184
"1","Belle And Sebastian",318
"1","Beth Orton",169
"1","Coldplay",148
"1","Death Cab For Cutie",94
"1","Deltron 3030",30
"1","Doves",90
"1","Eels",301
"1","Esthero",32
"1","Feist",80
"1","Gnarls Barkley",79
"1","Imogen Heap",166
"1","Jeff Buckley",72
"1","Kate Havnevik",62
"1","Maritime",79
"1","Matisyahu",61
"1","Metric",100
"1","Mike Doughty",67
"1","Morcheeba",115
"2","Air",155
"2","Beck",200
"2","Belle And Sebastian",271
"2","Beth Orton",196
"2","Coldplay",76
"2","Death Cab For Cutie",123
"2","Deltron 3030",37
"2","Doves",89
"2","Eels",373
"2","Esthero",43
"2","Feist",104
"2","Gnarls Barkley",94
"2","Imogen Heap",165
"2","Jeff Buckley",80
"2","Kate Havnevik",56
"2","Maritime",71
"2","Matisyahu",75
"2","Metric",101
"2","Mike Doughty",83
"2","Morcheeba",142
"3","Air",181
"3","Beck",217
"3","Belle And Sebastian",296
"3","Beth Orton",179
"3","Coldplay",78
"3","Death Cab For Cutie",135
"3","Deltron 3030",26
"3","Doves",91
"3","Eels",392
"3","Esthero",37
"3","Feist",96
"3","Gnarls Barkley",98
"3","Imogen Heap",196
"3","Jeff Buckley",78
"3","Kate Havnevik",56
"3","Maritime",83
"3","Matisyahu",68
"3","Metric",128
"3","Mike Doughty",98
"3","Morcheeba",131
"4","Air",152
"4","Beck",204
"4","Belle And Sebastian",272
"4","Beth Orton",168
"4","Coldplay",59
"4","Death Cab For Cutie",112
"4","Deltron 3030",33
"4","Doves",108
"4","Eels",539
"4","Esthero",39
"4","Feist",123
"4","Gnarls Barkley",84
"4","Imogen Heap",111
"4","Jeff Buckley",85
"4","Kate Havnevik",60
"4","Maritime",76
"4","Matisyahu",59
"4","Metric",98
"4","Mike Doughty",85
"4","Morcheeba",151
"5","Air",129
"5","Beck",166
"5","Belle And Sebastian",220
"5","Beth Orton",135
"5","Coldplay",68
"5","Death Cab For Cutie",107
"5","Deltron 3030",28
"5","Doves",87
"5","Eels",272
"5","Esthero",29
"5","Feist",96
"5","Gnarls Barkley",94
"5","Imogen Heap",102
"5","Jeff Buckley",72
"5","Kate Havnevik",44
"5","Maritime",89
"5","Matisyahu",68
"5","Metric",97
"5","Mike Doughty",80
"5","Morcheeba",116
"6","Air",102
"6","Beck",154
"6","Belle And Sebastian",242
"6","Beth Orton",113
"6","Coldplay",43
"6","Death Cab For Cutie",80
"6","Deltron 3030",31
"6","Doves",91
"6","Eels",309
"6","Esthero",36
"6","Feist",82
"6","Gnarls Barkley",79
"6","Imogen Heap",100
"6","Jeff Buckley",72
"6","Kate Havnevik",43
"6","Maritime",59
"6","Matisyahu",132
"6","Metric",55
"6","Mike Doughty",84
"6","Morcheeba",140
