"weekday","artist","plays"
"0","4Hero",1
"0","A Tribe Called Quest",1
"0","Air",2
"0","Amon Tobin",0
"0","Boards Of Canada",1
"0","Bonobo",0
"0","Daft Punk",1
"0","De-Phazz",0
"0","Dj Krush",1
"0","Faithless",1
"0","Goldfrapp",2
"0","Groove Armada",4
"0","Hooverphonic",3
"0","Massive Attack",5
"0","Moby",5
"0","Morcheeba",0
"0","Röyksopp",4
"0","The Chemical Brothers",2
"0","Thievery Corporation",1
"0","Zero 7",1
"1","4Hero",1
"1","A Tribe Called Quest",4
"1","Air",6
"1","Amon Tobin",2
"1","Boards Of Canada",0
"1","Bonobo",4
"1","Daft Punk",3
"1","De-Phazz",5
"1","Dj Krush",3
"1","Faithless",6
"1","Goldfrapp",2
"1","Groove Armada",11
"1","Hooverphonic",8
"1","Massive Attack",18
"1","Moby",11
"1","Morcheeba",9
"1","Röyksopp",8
"1","The Chemical Brothers",4
"1","Thievery Corporation",5
"1","Zero 7",5
"2","4Hero",7
"2","A Tribe Called Quest",6
"2","Air",9
"2","Amon Tobin",3
"2","Boards Of Canada",3
"2","Bonobo",4
"2","Daft Punk",4
"2","De-Phazz",4
"2","Dj Krush",1
"2","Faithless",7
"2","Goldfrapp",4
"2","Groove Armada",8
"2","Hooverphonic",6
"2","Massive Attack",8
"2","Moby",6
"2","Morcheeba",3
"2","Röyksopp",7
"2","The Chemical Brothers",5
"2","Thievery Corporation",7
"2","Zero 7",6
"3","4Hero",5
"3","A Tribe Called Quest",1
"3","Air",11
"3","Amon Tobin",2
"3","Boards Of Canada",1
"3","Bonobo",5
"3","Daft Punk",8
"3","De-Phazz",5
"3","Dj Krush",1
"3","Faithless",11
"3","Goldfrapp",3
"3","Groove Armada",13
"3","Hooverphonic",4
"3","Massive Attack",11
"3","Moby",14
"3","Morcheeba",7
"3","Röyksopp",6
"3","The Chemical Brothers",5
"3","Thievery Corporation",3
"3","Zero 7",7
"4","4Hero",3
"4","A Tribe Called Quest",4
"4","Air",8
"4","Amon Tobin",4
"4","Boards Of Canada",9
"4","Bonobo",3
"4","Daft Punk",2
"4","De-Phazz",2
"4","Dj Krush",1
"4","Faithless",4
"4","Goldfrapp",1
"4","Groove Armada",2
"4","Hooverphonic",1
"4","Massive Attack",5
"4","Moby",5
"4","Morcheeba",1
"4","Röyksopp",4
"4","The Chemical Brothers",3
"4","Thievery Corporation",6
"4","Zero 7",1
"5","4Hero",0
"5","A Tribe Called Quest",8
"5","Air",3
"5","Amon Tobin",0
"5","Boards Of Canada",0
"5","Bonobo",3
"5","Daft Punk",1
"5","De-Phazz",0
"5","Dj Krush",1
"5","Faithless",1
"5","Goldfrapp",0
"5","Groove Armada",3
"5","Hooverphonic",5
"5","Massive Attack",2
"5","Moby",2
"5","Morcheeba",1
"5","Röyksopp",8
"5","The Chemical Brothers",0
"5","Thievery Corporation",3
"5","Zero 7",2
"6","4Hero",1
"6","A Tribe Called Quest",1
"6","Air",3
"6","Amon Tobin",0
"6","Boards Of Canada",0
"6","Bonobo",3
"6","Daft Punk",1
"6","De-Phazz",0
"6","Dj Krush",3
"6","Faithless",1
"6","Goldfrapp",3
"6","Groove Armada",1
"6","Hooverphonic",2
"6","Massive Attack",3
"6","Moby",2
"6","Morcheeba",1
"6","Röyksopp",3
"6","The Chemical Brothers",3
"6","Thievery Corporation",3
"6","Zero 7",1
