"weekday","artist","plays"
"0","Architecture In Helsinki",27
"0","Bloc Party",0
"0","Brand New",39
"0","Brandtson",9
"0","Bright Eyes",31
"0","Broken Social Scene",80
"0","Elliott Smith",15
"0","Emily Haines & The Soft Skeleton",47
"0","Fairmont",10
"0","Indochine",26
"0","Margot & The Nuclear So And So'S",9
"0","Modest Mouse",15
"0","Mogwai",21
"0","Morrissey",11
"0","Murder By Death",22
"0","Nellie Mckay",212
"0","Stars",94
"0","The Cure",95
"0","The Shins",21
"0","The Smiths",42
"1","Architecture In Helsinki",1
"1","Bloc Party",9
"1","Brand New",27
"1","Brandtson",24
"1","Bright Eyes",21
"1","Broken Social Scene",56
"1","Elliott Smith",19
"1","Emily Haines & The Soft Skeleton",20
"1","Fairmont",0
"1","Indochine",25
"1","Margot & The Nuclear So And So'S",24
"1","Modest Mouse",9
"1","Mogwai",14
"1","Morrissey",14
"1","Murder By Death",0
"1","Nellie Mckay",67
"1","Stars",87
"1","The Cure",84
"1","The Shins",0
"1","The Smiths",43
"2","Architecture In Helsinki",31
"2","Bloc Party",6
"2","Brand New",14
"2","Brandtson",7
"2","Bright Eyes",20
"2","Broken Social Scene",25
"2","Elliott Smith",12
"2","Emily Haines & The Soft Skeleton",25
"2","Fairmont",2
"2","Indochine",1
"2","Margot & The Nuclear So And So'S",9
"2","Modest Mouse",30
"2","Mogwai",32
"2","Morrissey",18
"2","Murder By Death",22
"2","Nellie Mckay",73
"2","Stars",11
"2","The Cure",41
"2","The Shins",0
"2","The Smiths",128
"3","Architecture In Helsinki",9
"3","Bloc Party",3
"3","Brand New",101
"3","Brandtson",7
"3","Bright Eyes",13
"3","Broken Social Scene",106
"3","Elliott Smith",35
"3","Emily Haines & The Soft Skeleton",69
"3","Fairmont",1
"3","Indochine",23
"3","Margot & The Nuclear So And So'S",12
"3","Modest Mouse",13
"3","Mogwai",2
"3","Morrissey",22
"3","Murder By Death",13
"3","Nellie Mckay",62
"3","Stars",57
"3","The Cure",48
"3","The Shins",9
"3","The Smiths",49
"4","Architecture In Helsinki",1
"4","Bloc Party",8
"4","Brand New",43
"4","Brandtson",5
"4","Bright Eyes",26
"4","Broken Social Scene",27
"4","Elliott Smith",10
"4","Emily Haines & The Soft Skeleton",10
"4","Fairmont",11
"4","Indochine",19
"4","Margot & The Nuclear So And So'S",6
"4","Modest Mouse",35
"4","Mogwai",12
"4","Morrissey",1
"4","Murder By Death",16
"4","Nellie Mckay",87
"4","Stars",35
"4","The Cure",40
"4","The Shins",5
"4","The Smiths",30
"5","Architecture In Helsinki",56
"5","Bloc Party",15
"5","Brand New",59
"5","Brandtson",1
"5","Bright Eyes",6
"5","Broken Social Scene",9
"5","Elliott Smith",52
"5","Emily Haines & The Soft Skeleton",37
"5","Fairmont",2
"5","Indochine",0
"5","Margot & The Nuclear So And So'S",18
"5","Modest Mouse",4
"5","Mogwai",11
"5","Morrissey",10
"5","Murder By Death",7
"5","Nellie Mckay",82
"5","Stars",28
"5","The Cure",9
"5","The Shins",17
"5","The Smiths",16
"6","Architecture In Helsinki",20
"6","Bloc Party",53
"6","Brand New",51
"6","Brandtson",12
"6","Bright Eyes",27
"6","Broken Social Scene",65
"6","Elliott Smith",25
"6","Emily Haines & The Soft Skeleton",35
"6","Fairmont",4
"6","Indochine",31
"6","Margot & The Nuclear So And So'S",7
"6","Modest Mouse",2
"6","Mogwai",37
"6","Morrissey",7
"6","Murder By Death",29
"6","Nellie Mckay",121
"6","Stars",61
"6","The Cure",40
"6","The Shins",4
"6","The Smiths",107
