"weekday","artist","plays"
"0","!!!",7
"0","Albert Hammond, Jr.",22
"0","Arcade Fire",18
"0","Au Revoir Simone",29
"0","Bloc Party",71
"0","Bright Eyes",63
"0","Broder Daniel",47
"0","Chromeo",12
"0","Cocorosie",15
"0","Death Cab For Cutie",18
"0","Håkan Hellström",45
"0","Jens Lekman",26
"0","Kent",85
"0","Kristian Anttila",9
"0","Laakso",9
"0","The Kills",46
"0","The Knife",7
"0","The Shins",53
"0","The Tough Alliance",41
"0","Tunng",10
"1","!!!",11
"1","Albert Hammond, Jr.",17
"1","Arcade Fire",11
"1","Au Revoir Simone",8
"1","Bloc Party",58
"1","Bright Eyes",51
"1","Broder Daniel",18
"1","Chromeo",6
"1","Cocorosie",9
"1","Death Cab For Cutie",13
"1","Håkan Hellström",38
"1","Jens Lekman",19
"1","Kent",47
"1","Kristian Anttila",13
"1","Laakso",9
"1","The Kills",23
"1","The Knife",10
"1","The Shins",37
"1","The Tough Alliance",15
"1","Tunng",19
"2","!!!",1
"2","Albert Hammond, Jr.",16
"2","Arcade Fire",7
"2","Au Revoir Simone",8
"2","Bloc Party",20
"2","Bright Eyes",112
"2","Broder Daniel",21
"2","Chromeo",8
"2","Cocorosie",12
"2","Death Cab For Cutie",7
"2","Håkan Hellström",20
"2","Jens Lekman",18
"2","Kent",80
"2","Kristian Anttila",34
"2","Laakso",6
"2","The Kills",23
"2","The Knife",6
"2","The Shins",21
"2","The Tough Alliance",19
"2","Tunng",15
"3","!!!",7
"3","Albert Hammond, Jr.",15
"3","Arcade Fire",9
"3","Au Revoir Simone",8
"3","Bloc Party",24
"3","Bright Eyes",34
"3","Broder Daniel",15
"3","Chromeo",6
"3","Cocorosie",12
"3","Death Cab For Cutie",3
"3","Håkan Hellström",72
"3","Jens Lekman",12
"3","Kent",64
"3","Kristian Anttila",11
"3","Laakso",6
"3","The Kills",19
"3","The Knife",10
"3","The Shins",22
"3","The Tough Alliance",25
"3","Tunng",5
"4","!!!",13
"4","Albert Hammond, Jr.",22
"4","Arcade Fire",14
"4","Au Revoir Simone",8
"4","Bloc Party",44
"4","Bright Eyes",55
"4","Broder Daniel",34
"4","Chromeo",1
"4","Cocorosie",12
"4","Death Cab For Cutie",19
"4","Håkan Hellström",66
"4","Jens Lekman",15
"4","Kent",55
"4","Kristian Anttila",13
"4","Laakso",14
"4","The Kills",16
"4","The Knife",7
"4","The Shins",32
"4","The Tough Alliance",21
"4","Tunng",2
"5","!!!",6
"5","Albert Hammond, Jr.",22
"5","Arcade Fire",7
"5","Au Revoir Simone",1
"5","Bloc Party",16
"5","Bright Eyes",35
"5","Broder Daniel",6
"5","Chromeo",7
"5","Cocorosie",5
"5","Death Cab For Cutie",13
"5","Håkan Hellström",9
"5","Jens Lekman",9
"5","Kent",64
"5","Kristian Anttila",8
"5","Laakso",5
"5","The Kills",48
"5","The Knife",9
"5","The Shins",19
"5","The Tough Alliance",18
"5","Tunng",8
"6","!!!",5
"6","Albert Hammond, Jr.",15
"6","Arcade Fire",10
"6","Au Revoir Simone",10
"6","Bloc Party",42
"6","Bright Eyes",64
"6","Broder Daniel",21
"6","Chromeo",9
"6","Cocorosie",14
"6","Death Cab For Cutie",12
"6","Håkan Hellström",23
"6","Jens Lekman",12
"6","Kent",81
"6","Kristian Anttila",26
"6","Laakso",6
"6","The Kills",20
"6","The Knife",7
"6","The Shins",20
"6","The Tough Alliance",23
"6","Tunng",4
