"weekday","artist","plays"
"0","3 Doors Down",0
"0","Akon",35
"0","Billy Talent",25
"0","Bolt Thrower",8
"0","Brad Paisley",31
"0","Dimmu Borgir",87
"0","Dissection",205
"0","Disturbed",122
"0","Edguy",2
"0","Europe",61
"0","Green Day",7
"0","Guns N' Roses",37
"0","In Flames",3
"0","Lamb Of God",48
"0","Magnus Uggla",48
"0","Metallica",3
"0","Opeth",7
"0","Pantera",272
"0","Scar Symmetry",9
"0","White Lion",2
"1","3 Doors Down",4
"1","Akon",2
"1","Billy Talent",59
"1","Bolt Thrower",10
"1","Brad Paisley",58
"1","Dimmu Borgir",18
"1","Dissection",90
"1","Disturbed",36
"1","Edguy",2
"1","Europe",85
"1","Green Day",19
"1","Guns N' Roses",39
"1","In Flames",0
"1","Lamb Of God",44
"1","Magnus Uggla",0
"1","Metallica",15
"1","Opeth",12
"1","Pantera",56
"1","Scar Symmetry",5
"1","White Lion",63
"2","3 Doors Down",0
"2","Akon",13
"2","Billy Talent",106
"2","Bolt Thrower",5
"2","Brad Paisley",1
"2","Dimmu Borgir",2
"2","Dissection",89
"2","Disturbed",19
"2","Edguy",0
"2","Europe",75
"2","Green Day",10
"2","Guns N' Roses",8
"2","In Flames",2
"2","Lamb Of God",21
"2","Magnus Uggla",0
"2","Metallica",22
"2","Opeth",11
"2","Pantera",61
"2","Scar Symmetry",64
"2","White Lion",7
"3","3 Doors Down",0
"3","Akon",2
"3","Billy Talent",38
"3","Bolt Thrower",22
"3","Brad Paisley",5
"3","Dimmu Borgir",24
"3","Dissection",106
"3","Disturbed",41
"3","Edguy",2
"3","Europe",91
"3","Green Day",96
"3","Guns N' Roses",17
"3","In Flames",31
"3","Lamb Of God",11
"3","Magnus Uggla",0
"3","Metallica",3
"3","Opeth",13
"3","Pantera",84
"3","Scar Symmetry",4
"3","White Lion",26
"4","3 Doors Down",3
"4","Akon",9
"4","Billy Talent",74
"4","Bolt Thrower",18
"4","Brad Paisley",4
"4","Dimmu Borgir",2
"4","Dissection",95
"4","Disturbed",4
"4","Edguy",0
"4","Europe",48
"4","Green Day",22
"4","Guns N' Roses",29
"4","In Flames",2
"4","Lamb Of God",129
"4","Magnus Uggla",0
"4","Metallica",3
"4","Opeth",13
"4","Pantera",76
"4","Scar Symmetry",14
"4","White Lion",2
"5","3 Doors Down",2
"5","Akon",16
"5","Billy Talent",53
"5","Bolt Thrower",65
"5","Brad Paisley",3
"5","Dimmu Borgir",22
"5","Dissection",93
"5","Disturbed",24
"5","Edguy",4
"5","Europe",46
"5","Green Day",56
"5","Guns N' Roses",53
"5","In Flames",58
"5","Lamb Of God",104
"5","Magnus Uggla",14
"5","Metallica",44
"5","Opeth",1
"5","Pantera",198
"5","Scar Symmetry",36
"5","White Lion",20
"6","3 Doors Down",7
"6","Akon",26
"6","Billy Talent",16
"6","Bolt Thrower",7
"6","Brad Paisley",2
"6","Dimmu Borgir",68
"6","Dissection",14
"6","Disturbed",25
"6","Edguy",1
"6","Europe",8
"6","Green Day",79
"6","Guns N' Roses",58
"6","In Flames",12
"6","Lamb Of God",103
"6","Magnus Uggla",6
"6","Metallica",18
"6","Opeth",0
"6","Pantera",371
"6","Scar Symmetry",28
"6","White Lion",1
