"user.id","artist","preferred.listening.weekdays","avoided.listening.weekdays","mean.plays","sd.plays","var.plays"
"user_000293","The Killers","","",0.960271438578823,0.260363717295289,0.0677892652838213
"user_000293","R.E.M.","","",1.11084749764633,0.197830116296423,0.0391367549138563
"user_000293","Snow Patrol","","",0.85587778749832,0.161279657142606,0.0260111278080367
"user_000293","Elbow","","",1.05970067969789,0.278460686666199,0.077540354018611
"user_000293","Death Cab For Cutie","","",0.909929667053894,0.0742226842780434,0.00550900686143812
"user_000293","Idlewild","","",0.913993206745093,0.169660444277964,0.0287846663525962
"user_000293","Stereophonics","Mon","",0.902340898594434,0.284735737637056,0.0810744402877182
"user_000293","Athlete","","",1.03940599177974,0.062844840398271,0.00394947396468415
"user_000293","Coldplay","Wed/Fri","",0.772150605521022,0.386359198441903,0.14927343022067
"user_000293","Feeder","","",1.01394765139447,0.244073714645326,0.0595719781807678
"user_000293","My Chemical Romance","","",0.741771725672238,0.242488368623083,0.0588006089174842
"user_000293","Placebo","","",0.812999248391269,0.217786714635273,0.0474310530716257
"user_000293","The Verve","","",0.972625041814965,0.384243418535469,0.147643004687824
"user_000293","Arctic Monkeys","","",0.869506488207672,0.124869476122678,0.015592386067152
"user_000293","Depeche Mode","Mon","",0.717177871520101,0.312201292002272,0.0974696467278877
"user_000293","Easyworld","","",0.88418495230361,0.263785525777696,0.0695828036098155
"user_000293","Richard Ashcroft","","",0.955181141741637,0.328335078676471,0.107803923889484
"user_000293","David Ford","","",0.728965748108907,0.254290466019399,0.064663641108363
"user_000293","Fall Out Boy","","",0.948715660651925,0.112762864037397,0.0127154635059166
"user_000293","The Shins","","",0.841293678281587,0.225289177585706,0.0507552135372439
"user_000293","U2","","",0.931800000918273,0.316095355214978,0.0999162735884834
"user_000293","Bloc Party","","",0.854584581916356,0.225903327359272,0.0510323133119905
"user_000293","Hard-Fi","","",0.735149974196899,0.236043600112134,0.0557165811538969
"user_000293","Kasabian","Wed","",0.766256616798395,0.319809188827908,0.102277917258765
"user_000293","Kaiser Chiefs","","",0.895377276722714,0.144648905968475,0.0209233059978766
"user_000293","Radiohead","Thu","",0.559082311682952,0.462543061730329,0.213946083954867
"user_000293","Bright Eyes","Sat","",0.75008171374631,0.232610475362319,0.0541076332482839
"user_000293","Green Day","","",1.08775272794919,0.253487318392088,0.0642558205856117
"user_000293","Lifehouse","","",0.844796211990283,0.172394249481375,0.0297197772542467
"user_000293","Razorlight","","",0.756335050938047,0.154795384952304,0.0239616112025321
"user_000293","Thirteen Senses","Thu/Sat","",0.699892142929181,0.294588368898117,0.0867823070900529
"user_000293","Dashboard Confessional","Thu","",0.661775627408422,0.426449158251843,0.181858884573705
"user_000293","Dishwalla","Thu","",0.984711813813511,0.293455309819511,0.0861160188612651
"user_000293","Editors","","",0.720105094657907,0.204943109873215,0.0420016782845045
"user_000293","Jj72","Sun","",0.638673117453867,0.260132389183501,0.0676688599023165
"user_000293","Eels","Thu","",0.947181047061935,0.414879258633925,0.172124799244635
"user_000293","Embrace","","",0.988254786884943,0.18999758035102,0.0360990805392423
"user_000293","Frou Frou","","",0.808840454142612,0.287900876901572,0.0828869149206942
"user_000293","Suzanne Vega","","",0.761845742694414,0.320955535848706,0.10301245599193
"user_000293","Taking Back Sunday","","",0.836620540661665,0.226683995943343,0.0513856340168417
"user_000293","The Faint","","",0.865578598363485,0.193750168838209,0.0375391279248343
"user_000293","Bell X1","","",0.696957006318279,0.147743131080581,0.0218280327814938
"user_000293","Iko","","",1.07096264457725,0.209733275302692,0.0439880467691946
"user_000293","James Blunt","","",1.04825713975641,0.224875652578164,0.050569059122455
"user_000293","Maxïmo Park","","",1.02625946111664,0.265222940779287,0.070343208315613
"user_000293","Remy Zero","Wed","",0.912759519926264,0.309180536715,0.0955926042833755
"user_000293","The Cure","Tue","",0.779954349048732,0.318864704729975,0.101674699922534
"user_000293","The Feeling","","",0.943000887537131,0.330722350561394,0.109377273160854
"user_000293","Aqualung","Sun/Sat","",0.64845478541054,0.302957324836682,0.091783140672199
"user_000293","Ben Kweller","","",0.67190817481737,0.21504342775946,0.0462436758225382
