"weekday","artist","plays"
"0","Air",3
"0","Björk",401
"0","Coldplay",72
"0","De-Phazz",4
"0","Goldfrapp",1
"0","Groove Armada",1
"0","Jazzanova",1
"0","José González",13
"0","Koop",66
"0","Lamb",3
"0","Massive Attack",4
"0","Nightmares On Wax",3
"0","Pink Floyd",518
"0","Portishead",4
"0","Sade",5
"0","Sia",2
"0","St. Germain",2
"0","The Cinematic Orchestra",3
"0","Thievery Corporation",6
"0","Zero 7",45
"1","Air",7
"1","Björk",471
"1","Coldplay",48
"1","De-Phazz",12
"1","Goldfrapp",3
"1","Groove Armada",7
"1","Jazzanova",7
"1","José González",4
"1","Koop",22
"1","Lamb",4
"1","Massive Attack",5
"1","Nightmares On Wax",1
"1","Pink Floyd",302
"1","Portishead",9
"1","Sade",1
"1","Sia",6
"1","St. Germain",37
"1","The Cinematic Orchestra",16
"1","Thievery Corporation",6
"1","Zero 7",37
"2","Air",3
"2","Björk",986
"2","Coldplay",57
"2","De-Phazz",11
"2","Goldfrapp",9
"2","Groove Armada",7
"2","Jazzanova",5
"2","José González",10
"2","Koop",46
"2","Lamb",6
"2","Massive Attack",3
"2","Nightmares On Wax",4
"2","Pink Floyd",219
"2","Portishead",5
"2","Sade",5
"2","Sia",5
"2","St. Germain",80
"2","The Cinematic Orchestra",10
"2","Thievery Corporation",6
"2","Zero 7",33
"3","Air",10
"3","Björk",377
"3","Coldplay",85
"3","De-Phazz",12
"3","Goldfrapp",15
"3","Groove Armada",5
"3","Jazzanova",10
"3","José González",12
"3","Koop",27
"3","Lamb",7
"3","Massive Attack",8
"3","Nightmares On Wax",3
"3","Pink Floyd",413
"3","Portishead",6
"3","Sade",6
"3","Sia",7
"3","St. Germain",29
"3","The Cinematic Orchestra",14
"3","Thievery Corporation",6
"3","Zero 7",83
"4","Air",10
"4","Björk",243
"4","Coldplay",48
"4","De-Phazz",14
"4","Goldfrapp",6
"4","Groove Armada",6
"4","Jazzanova",16
"4","José González",4
"4","Koop",11
"4","Lamb",9
"4","Massive Attack",7
"4","Nightmares On Wax",4
"4","Pink Floyd",181
"4","Portishead",12
"4","Sade",2
"4","Sia",5
"4","St. Germain",36
"4","The Cinematic Orchestra",10
"4","Thievery Corporation",5
"4","Zero 7",23
"5","Air",7
"5","Björk",346
"5","Coldplay",34
"5","De-Phazz",13
"5","Goldfrapp",8
"5","Groove Armada",2
"5","Jazzanova",10
"5","José González",2
"5","Koop",12
"5","Lamb",7
"5","Massive Attack",8
"5","Nightmares On Wax",4
"5","Pink Floyd",245
"5","Portishead",7
"5","Sade",7
"5","Sia",6
"5","St. Germain",36
"5","The Cinematic Orchestra",39
"5","Thievery Corporation",4
"5","Zero 7",61
"6","Air",6
"6","Björk",268
"6","Coldplay",72
"6","De-Phazz",9
"6","Goldfrapp",2
"6","Groove Armada",6
"6","Jazzanova",7
"6","José González",4
"6","Koop",32
"6","Lamb",8
"6","Massive Attack",10
"6","Nightmares On Wax",7
"6","Pink Floyd",291
"6","Portishead",9
"6","Sade",7
"6","Sia",10
"6","St. Germain",55
"6","The Cinematic Orchestra",30
"6","Thievery Corporation",12
"6","Zero 7",88
