"month","artist","plays"
"2008-10","Backstreet Boys",38
"2008-10","Belle And Sebastian",5
"2008-10","Ben Folds",12
"2008-10","Brendan Benson",22
"2008-10","Bryan Adams",4
"2008-10","Coconut Records",1
"2008-10","Cold War Kids",1
"2008-10","Coldplay",10
"2008-10","Creedence Clearwater Revisited",8
"2008-10","Death Cab For Cutie",20
"2008-10","Eddie Money",6
"2008-10","Eric Clapton",1
"2008-10","Fountains Of Wayne",2
"2008-10","Franz Ferdinand",11
"2008-10","Harry Gregson-Williams",28
"2008-10","Interpol",4
"2008-10","John Williams",23
"2008-10","Josh Groban",13
"2008-10","Journey",4
"2008-10","Keane",144
"2008-11","Backstreet Boys",27
"2008-11","Belle And Sebastian",3
"2008-11","Ben Folds",4
"2008-11","Brendan Benson",5
"2008-11","Bryan Adams",4
"2008-11","Coconut Records",1
"2008-11","Cold War Kids",3
"2008-11","Coldplay",20
"2008-11","Creedence Clearwater Revisited",2
"2008-11","Death Cab For Cutie",47
"2008-11","Eddie Money",20
"2008-11","Eric Clapton",2
"2008-11","Fountains Of Wayne",9
"2008-11","Franz Ferdinand",37
"2008-11","Harry Gregson-Williams",13
"2008-11","Interpol",12
"2008-11","John Williams",4
"2008-11","Josh Groban",20
"2008-11","Journey",19
"2008-11","Keane",88
"2008-12","Backstreet Boys",14
"2008-12","Belle And Sebastian",1
"2008-12","Ben Folds",7
"2008-12","Brendan Benson",18
"2008-12","Bryan Adams",1
"2008-12","Coconut Records",2
"2008-12","Cold War Kids",1
"2008-12","Coldplay",17
"2008-12","Creedence Clearwater Revisited",1
"2008-12","Death Cab For Cutie",48
"2008-12","Eddie Money",12
"2008-12","Eric Clapton",1
"2008-12","Fountains Of Wayne",1
"2008-12","Franz Ferdinand",27
"2008-12","Harry Gregson-Williams",71
"2008-12","Interpol",2
"2008-12","John Williams",8
"2008-12","Josh Groban",16
"2008-12","Journey",10
"2008-12","Keane",35
"2009-01","Backstreet Boys",14
"2009-01","Belle And Sebastian",1
"2009-01","Ben Folds",2
"2009-01","Brendan Benson",9
"2009-01","Bryan Adams",1
"2009-01","Coconut Records",2
"2009-01","Cold War Kids",1
"2009-01","Coldplay",15
"2009-01","Creedence Clearwater Revisited",2
"2009-01","Death Cab For Cutie",16
"2009-01","Eddie Money",31
"2009-01","Eric Clapton",3
"2009-01","Fountains Of Wayne",3
"2009-01","Franz Ferdinand",134
"2009-01","Harry Gregson-Williams",55
"2009-01","Interpol",2
"2009-01","John Williams",4
"2009-01","Josh Groban",5
"2009-01","Journey",1
"2009-01","Keane",19
"2009-02","Backstreet Boys",15
"2009-02","Belle And Sebastian",2
"2009-02","Ben Folds",3
"2009-02","Brendan Benson",5
"2009-02","Bryan Adams",3
"2009-02","Coconut Records",1
"2009-02","Cold War Kids",2
"2009-02","Coldplay",52
"2009-02","Creedence Clearwater Revisited",6
"2009-02","Death Cab For Cutie",13
"2009-02","Eddie Money",22
"2009-02","Eric Clapton",2
"2009-02","Fountains Of Wayne",3
"2009-02","Franz Ferdinand",90
"2009-02","Harry Gregson-Williams",45
"2009-02","Interpol",6
"2009-02","John Williams",2
"2009-02","Josh Groban",4
"2009-02","Journey",1
"2009-02","Keane",48
"2009-03","Backstreet Boys",19
"2009-03","Belle And Sebastian",1
"2009-03","Ben Folds",6
"2009-03","Brendan Benson",16
"2009-03","Bryan Adams",1
"2009-03","Coconut Records",1
"2009-03","Cold War Kids",1
"2009-03","Coldplay",19
"2009-03","Creedence Clearwater Revisited",6
"2009-03","Death Cab For Cutie",15
"2009-03","Eddie Money",11
"2009-03","Eric Clapton",2
"2009-03","Fountains Of Wayne",2
"2009-03","Franz Ferdinand",26
"2009-03","Harry Gregson-Williams",19
"2009-03","Interpol",15
"2009-03","John Williams",2
"2009-03","Josh Groban",2
"2009-03","Journey",1
"2009-03","Keane",175
"2009-04","Backstreet Boys",41
"2009-04","Belle And Sebastian",1
"2009-04","Ben Folds",2
"2009-04","Brendan Benson",2
"2009-04","Bryan Adams",1
"2009-04","Coconut Records",2
"2009-04","Cold War Kids",1
"2009-04","Coldplay",9
"2009-04","Creedence Clearwater Revisited",4
"2009-04","Death Cab For Cutie",2
"2009-04","Eddie Money",18
"2009-04","Eric Clapton",2
"2009-04","Fountains Of Wayne",1
"2009-04","Franz Ferdinand",26
"2009-04","Harry Gregson-Williams",9
"2009-04","Interpol",2
"2009-04","John Williams",26
"2009-04","Josh Groban",3
"2009-04","Journey",6
"2009-04","Keane",11
