"weekday","artist","plays"
"0","Bloc Party",37
"0","Blondie",120
"0","Buzzcocks",64
"0","David Bowie",79
"0","Foo Fighters",24
"0","Gorillaz",39
"0","Idlewild",244
"0","Incubus",43
"0","Interpol",152
"0","Less Than Jake",36
"0","Mansun",58
"0","Maxïmo Park",192
"0","Pixies",80
"0","Placebo",95
"0","The Chemical Brothers",24
"0","The Clash",11
"0","The Cure",210
"0","The Futureheads",89
"0","The Smiths",24
"0","Tori Amos",32
"1","Bloc Party",45
"1","Blondie",76
"1","Buzzcocks",18
"1","David Bowie",3
"1","Foo Fighters",31
"1","Gorillaz",61
"1","Idlewild",319
"1","Incubus",15
"1","Interpol",269
"1","Less Than Jake",82
"1","Mansun",120
"1","Maxïmo Park",248
"1","Pixies",52
"1","Placebo",111
"1","The Chemical Brothers",16
"1","The Clash",36
"1","The Cure",370
"1","The Futureheads",44
"1","The Smiths",97
"1","Tori Amos",72
"2","Bloc Party",16
"2","Blondie",1
"2","Buzzcocks",22
"2","David Bowie",63
"2","Foo Fighters",22
"2","Gorillaz",45
"2","Idlewild",174
"2","Incubus",39
"2","Interpol",251
"2","Less Than Jake",96
"2","Mansun",80
"2","Maxïmo Park",124
"2","Pixies",20
"2","Placebo",31
"2","The Chemical Brothers",7
"2","The Clash",29
"2","The Cure",237
"2","The Futureheads",30
"2","The Smiths",136
"2","Tori Amos",162
"3","Bloc Party",26
"3","Blondie",12
"3","Buzzcocks",16
"3","David Bowie",62
"3","Foo Fighters",29
"3","Gorillaz",45
"3","Idlewild",244
"3","Incubus",58
"3","Interpol",407
"3","Less Than Jake",108
"3","Mansun",137
"3","Maxïmo Park",243
"3","Pixies",42
"3","Placebo",25
"3","The Chemical Brothers",16
"3","The Clash",29
"3","The Cure",427
"3","The Futureheads",80
"3","The Smiths",81
"3","Tori Amos",168
"4","Bloc Party",73
"4","Blondie",87
"4","Buzzcocks",35
"4","David Bowie",11
"4","Foo Fighters",20
"4","Gorillaz",17
"4","Idlewild",131
"4","Incubus",57
"4","Interpol",397
"4","Less Than Jake",38
"4","Mansun",124
"4","Maxïmo Park",259
"4","Pixies",64
"4","Placebo",39
"4","The Chemical Brothers",26
"4","The Clash",12
"4","The Cure",256
"4","The Futureheads",35
"4","The Smiths",169
"4","Tori Amos",119
"5","Bloc Party",22
"5","Blondie",12
"5","Buzzcocks",66
"5","David Bowie",33
"5","Foo Fighters",61
"5","Gorillaz",39
"5","Idlewild",275
"5","Incubus",15
"5","Interpol",260
"5","Less Than Jake",76
"5","Mansun",85
"5","Maxïmo Park",127
"5","Pixies",23
"5","Placebo",17
"5","The Chemical Brothers",12
"5","The Clash",12
"5","The Cure",203
"5","The Futureheads",88
"5","The Smiths",34
"5","Tori Amos",73
"6","Bloc Party",30
"6","Blondie",110
"6","Buzzcocks",43
"6","David Bowie",14
"6","Foo Fighters",32
"6","Gorillaz",60
"6","Idlewild",166
"6","Incubus",16
"6","Interpol",213
"6","Less Than Jake",36
"6","Mansun",144
"6","Maxïmo Park",161
"6","Pixies",21
"6","Placebo",64
"6","The Chemical Brothers",10
"6","The Clash",26
"6","The Cure",160
"6","The Futureheads",56
"6","The Smiths",53
"6","Tori Amos",34
