"weekday","artist","plays"
"0","Akurat",71
"0","Children Of Bodom",89
"0","Closterkeller",74
"0","Cradle Of Filth",88
"0","Dead Can Dance",68
"0","Gorillaz",98
"0","In Flames",164
"0","Iron Maiden",72
"0","Kazik",147
"0","Korn",101
"0","Kult",340
"0","Limp Bizkit",108
"0","Marilyn Manson",284
"0","Metallica",354
"0","Moby",52
"0","Nightwish",101
"0","Nine Inch Nails",565
"0","Nirvana",119
"0","Pearl Jam",244
"0","Pidżama Porno",69
"1","Akurat",80
"1","Children Of Bodom",101
"1","Closterkeller",97
"1","Cradle Of Filth",87
"1","Dead Can Dance",91
"1","Gorillaz",85
"1","In Flames",207
"1","Iron Maiden",76
"1","Kazik",172
"1","Korn",138
"1","Kult",306
"1","Limp Bizkit",115
"1","Marilyn Manson",159
"1","Metallica",383
"1","Moby",71
"1","Nightwish",104
"1","Nine Inch Nails",521
"1","Nirvana",150
"1","Pearl Jam",219
"1","Pidżama Porno",73
"2","Akurat",98
"2","Children Of Bodom",94
"2","Closterkeller",97
"2","Cradle Of Filth",83
"2","Dead Can Dance",96
"2","Gorillaz",101
"2","In Flames",184
"2","Iron Maiden",83
"2","Kazik",209
"2","Korn",126
"2","Kult",364
"2","Limp Bizkit",130
"2","Marilyn Manson",212
"2","Metallica",483
"2","Moby",65
"2","Nightwish",132
"2","Nine Inch Nails",470
"2","Nirvana",141
"2","Pearl Jam",276
"2","Pidżama Porno",92
"3","Akurat",89
"3","Children Of Bodom",133
"3","Closterkeller",89
"3","Cradle Of Filth",102
"3","Dead Can Dance",97
"3","Gorillaz",102
"3","In Flames",161
"3","Iron Maiden",92
"3","Kazik",189
"3","Korn",156
"3","Kult",365
"3","Limp Bizkit",122
"3","Marilyn Manson",185
"3","Metallica",438
"3","Moby",77
"3","Nightwish",160
"3","Nine Inch Nails",617
"3","Nirvana",150
"3","Pearl Jam",245
"3","Pidżama Porno",71
"4","Akurat",67
"4","Children Of Bodom",106
"4","Closterkeller",80
"4","Cradle Of Filth",66
"4","Dead Can Dance",75
"4","Gorillaz",75
"4","In Flames",192
"4","Iron Maiden",80
"4","Kazik",193
"4","Korn",133
"4","Kult",330
"4","Limp Bizkit",123
"4","Marilyn Manson",233
"4","Metallica",345
"4","Moby",50
"4","Nightwish",125
"4","Nine Inch Nails",473
"4","Nirvana",136
"4","Pearl Jam",243
"4","Pidżama Porno",60
"5","Akurat",64
"5","Children Of Bodom",101
"5","Closterkeller",91
"5","Cradle Of Filth",83
"5","Dead Can Dance",94
"5","Gorillaz",75
"5","In Flames",138
"5","Iron Maiden",56
"5","Kazik",162
"5","Korn",124
"5","Kult",308
"5","Limp Bizkit",100
"5","Marilyn Manson",150
"5","Metallica",334
"5","Moby",64
"5","Nightwish",113
"5","Nine Inch Nails",470
"5","Nirvana",137
"5","Pearl Jam",225
"5","Pidżama Porno",76
"6","Akurat",57
"6","Children Of Bodom",83
"6","Closterkeller",94
"6","Cradle Of Filth",60
"6","Dead Can Dance",70
"6","Gorillaz",76
"6","In Flames",246
"6","Iron Maiden",84
"6","Kazik",169
"6","Korn",101
"6","Kult",287
"6","Limp Bizkit",91
"6","Marilyn Manson",163
"6","Metallica",329
"6","Moby",44
"6","Nightwish",117
"6","Nine Inch Nails",377
"6","Nirvana",121
"6","Pearl Jam",209
"6","Pidżama Porno",70
