"weekday","artist","plays"
"0","Blackmore'S Night",5
"0","Blackstratblues",1
"0","Blue October",0
"0","Cat Stevens",3
"0","Coldplay",14
"0","Dave Matthews Band",4
"0","Dire Straits",9
"0","Dream Theater",21
"0","Eric Clapton",15
"0","Jefferson Airplane",27
"0","Joe Satriani",6
"0","Opeth",10
"0","Pearl Jam",79
"0","Pink Floyd",28
"0","Porcupine Tree",22
"0","Radiohead",29
"0","Red Hot Chili Peppers",4
"0","Rush",26
"0","The Doors",22
"0","U2",17
"1","Blackmore'S Night",47
"1","Blackstratblues",2
"1","Blue October",18
"1","Cat Stevens",30
"1","Coldplay",40
"1","Dave Matthews Band",10
"1","Dire Straits",46
"1","Dream Theater",105
"1","Eric Clapton",16
"1","Jefferson Airplane",20
"1","Joe Satriani",39
"1","Opeth",43
"1","Pearl Jam",25
"1","Pink Floyd",89
"1","Porcupine Tree",39
"1","Radiohead",68
"1","Red Hot Chili Peppers",27
"1","Rush",28
"1","The Doors",86
"1","U2",20
"2","Blackmore'S Night",50
"2","Blackstratblues",27
"2","Blue October",24
"2","Cat Stevens",46
"2","Coldplay",62
"2","Dave Matthews Band",2
"2","Dire Straits",27
"2","Dream Theater",25
"2","Eric Clapton",28
"2","Jefferson Airplane",6
"2","Joe Satriani",9
"2","Opeth",81
"2","Pearl Jam",32
"2","Pink Floyd",94
"2","Porcupine Tree",92
"2","Radiohead",48
"2","Red Hot Chili Peppers",5
"2","Rush",20
"2","The Doors",83
"2","U2",38
"3","Blackmore'S Night",16
"3","Blackstratblues",17
"3","Blue October",11
"3","Cat Stevens",35
"3","Coldplay",40
"3","Dave Matthews Band",36
"3","Dire Straits",71
"3","Dream Theater",37
"3","Eric Clapton",56
"3","Jefferson Airplane",60
"3","Joe Satriani",25
"3","Opeth",51
"3","Pearl Jam",59
"3","Pink Floyd",137
"3","Porcupine Tree",21
"3","Radiohead",43
"3","Red Hot Chili Peppers",18
"3","Rush",6
"3","The Doors",27
"3","U2",32
"4","Blackmore'S Night",41
"4","Blackstratblues",3
"4","Blue October",10
"4","Cat Stevens",13
"4","Coldplay",39
"4","Dave Matthews Band",9
"4","Dire Straits",50
"4","Dream Theater",38
"4","Eric Clapton",40
"4","Jefferson Airplane",35
"4","Joe Satriani",21
"4","Opeth",60
"4","Pearl Jam",28
"4","Pink Floyd",110
"4","Porcupine Tree",36
"4","Radiohead",45
"4","Red Hot Chili Peppers",38
"4","Rush",9
"4","The Doors",54
"4","U2",9
"5","Blackmore'S Night",53
"5","Blackstratblues",27
"5","Blue October",7
"5","Cat Stevens",63
"5","Coldplay",83
"5","Dave Matthews Band",17
"5","Dire Straits",63
"5","Dream Theater",34
"5","Eric Clapton",36
"5","Jefferson Airplane",23
"5","Joe Satriani",10
"5","Opeth",81
"5","Pearl Jam",13
"5","Pink Floyd",198
"5","Porcupine Tree",44
"5","Radiohead",23
"5","Red Hot Chili Peppers",41
"5","Rush",14
"5","The Doors",20
"5","U2",35
"6","Blackmore'S Night",10
"6","Blackstratblues",26
"6","Blue October",3
"6","Cat Stevens",7
"6","Coldplay",35
"6","Dave Matthews Band",3
"6","Dire Straits",8
"6","Dream Theater",2
"6","Eric Clapton",4
"6","Jefferson Airplane",13
"6","Joe Satriani",4
"6","Opeth",20
"6","Pearl Jam",22
"6","Pink Floyd",93
"6","Porcupine Tree",20
"6","Radiohead",24
"6","Red Hot Chili Peppers",7
"6","Rush",14
"6","The Doors",6
"6","U2",30
