"weekday","artist","plays"
"0","A Perfect Circle",0
"0","Air",5
"0","Anathema",20
"0","Apocalyptica",8
"0","Arcade Fire",0
"0","Beck",3
"0","Björk",2
"0","Boards Of Canada",12
"0","Calexico",36
"0","Coldplay",0
"0","Elliott Smith",0
"0","Emilíana Torrini",0
"0","Goldfrapp",20
"0","Iron & Wine",5
"0","Nick Drake",9
"0","Radiohead",3
"0","Sigur Rós",2
"0","Sufjan Stevens",0
"0","The Beatles",0
"0","Yann Tiersen",177
"1","A Perfect Circle",4
"1","Air",3
"1","Anathema",10
"1","Apocalyptica",4
"1","Arcade Fire",1
"1","Beck",4
"1","Björk",5
"1","Boards Of Canada",22
"1","Calexico",3
"1","Coldplay",6
"1","Elliott Smith",4
"1","Emilíana Torrini",37
"1","Goldfrapp",6
"1","Iron & Wine",11
"1","Nick Drake",4
"1","Radiohead",3
"1","Sigur Rós",7
"1","Sufjan Stevens",3
"1","The Beatles",2
"1","Yann Tiersen",24
"2","A Perfect Circle",2
"2","Air",4
"2","Anathema",14
"2","Apocalyptica",1
"2","Arcade Fire",5
"2","Beck",4
"2","Björk",7
"2","Boards Of Canada",1
"2","Calexico",0
"2","Coldplay",8
"2","Elliott Smith",8
"2","Emilíana Torrini",45
"2","Goldfrapp",22
"2","Iron & Wine",5
"2","Nick Drake",2
"2","Radiohead",4
"2","Sigur Rós",64
"2","Sufjan Stevens",5
"2","The Beatles",2
"2","Yann Tiersen",33
"3","A Perfect Circle",8
"3","Air",2
"3","Anathema",0
"3","Apocalyptica",28
"3","Arcade Fire",3
"3","Beck",4
"3","Björk",7
"3","Boards Of Canada",1
"3","Calexico",15
"3","Coldplay",2
"3","Elliott Smith",3
"3","Emilíana Torrini",53
"3","Goldfrapp",2
"3","Iron & Wine",17
"3","Nick Drake",9
"3","Radiohead",3
"3","Sigur Rós",27
"3","Sufjan Stevens",3
"3","The Beatles",3
"3","Yann Tiersen",204
"4","A Perfect Circle",3
"4","Air",3
"4","Anathema",8
"4","Apocalyptica",24
"4","Arcade Fire",4
"4","Beck",5
"4","Björk",5
"4","Boards Of Canada",2
"4","Calexico",18
"4","Coldplay",4
"4","Elliott Smith",1
"4","Emilíana Torrini",42
"4","Goldfrapp",3
"4","Iron & Wine",15
"4","Nick Drake",64
"4","Radiohead",38
"4","Sigur Rós",18
"4","Sufjan Stevens",4
"4","The Beatles",6
"4","Yann Tiersen",54
"5","A Perfect Circle",1
"5","Air",2
"5","Anathema",26
"5","Apocalyptica",40
"5","Arcade Fire",0
"5","Beck",1
"5","Björk",3
"5","Boards Of Canada",14
"5","Calexico",20
"5","Coldplay",2
"5","Elliott Smith",3
"5","Emilíana Torrini",20
"5","Goldfrapp",18
"5","Iron & Wine",14
"5","Nick Drake",0
"5","Radiohead",3
"5","Sigur Rós",21
"5","Sufjan Stevens",3
"5","The Beatles",2
"5","Yann Tiersen",52
"6","A Perfect Circle",2
"6","Air",3
"6","Anathema",2
"6","Apocalyptica",26
"6","Arcade Fire",3
"6","Beck",2
"6","Björk",3
"6","Boards Of Canada",32
"6","Calexico",39
"6","Coldplay",2
"6","Elliott Smith",1
"6","Emilíana Torrini",68
"6","Goldfrapp",19
"6","Iron & Wine",18
"6","Nick Drake",1
"6","Radiohead",26
"6","Sigur Rós",3
"6","Sufjan Stevens",2
"6","The Beatles",22
"6","Yann Tiersen",180
